Date,time,operator,scriber,cleaving,Lot,Needle_maker,Needle_No,scribe_length,scribe_force,unseparate,peeling
2025/03/23,0:46:28,JC2024116,Scriber No.9,Cleaving No.4,24LED1AT0Ab01,Asahi,608,146.5,12.2,0.1,0
2025/03/23,0:56:58,JC2024116,Scriber No.5,Cleaving No.8,24LED1ASPDa00,Asahi,609,151.1,12.1,0,0
2025/03/23,2:47:59,JC2024116,Scriber No.6,Cleaving No.9,24LED1ASYCe01,Asahi,610,149.1,12.1,0,0
2025/03/23,3:39:14,JC2024116,Scriber No.7,Cleaving No.11,24LED1AT4Cd01,Asahi,618,154.4,12.3,0,0
2025/03/23,4:11:10,JC2024116,Scriber No.3,Cleaving No.6,24LED1ASQAf00,Asahi,611,149.2,12.1,0,0
2025/03/23,6:08:45,JC2024116,Scriber No.8,Cleaving No.12,24LED1AT0Be01,Asahi,619,156.4,12.2,1.9,3
2025/03/23,8:24:50,JC2024116,Scriber No.5,Cleaving No.8,24MNDEA12Ab01,Asahi,620,153.8,12.2,0,0
2025/03/23,9:30:23,JC2024101,Scriber No.3,Cleaving No.6,24LED1AT0Dg01,Asahi,621,159.7,12,0,3
2025/03/23,9:53:21,PF2025028,Scriber No.8,Cleaving No.12,24MNDEA12Af01,Asahi,623,148.5,12.1,0,0
2025/03/23,10:25:58,PF2025028,Scriber No.6,Cleaving No.9,24LED1ASUBa01,Asahi,622,149.8,12.3,0,1
2025/03/23,22:09:14,JC2024111,Scriber No.6,Cleaving No.9,24MNDEA26Ah00,Asahi,622,149.7,12.3,0,0
2025/03/23,22:22:05,JC2024111,Scriber No.3,Cleaving No.6,24H1NV244Bc00,Asahi,621,149.8,12.4,0,0
2025/03/23,22:44:42,JC2024111,Scriber No.5,Cleaving No.8,24LED1ATBAd01,Asahi,620,152.5,12,0,0
2025/03/23,23:36:15,JC2019007,Scriber No.8,Cleaving No.12,24LED1ATADb01,Asahi,623,151.2,12.1,0,0
2025/03/23,23:49:16,JC2024111,Scriber No.9,Cleaving No.4,24LED1ATABb01,Asahi,608,150.2,12.2,0,0
2025/03/24,1:35:50,JC2019007,Scriber No.7,Cleaving No.11,24LDD1ARVBa01,Asahi,618,155.2,12.4,1.92,7
2025/03/24,3:47:10,JC2019007,Scriber No.7,Cleaving No.11,24MNDEA12De01,Asahi,624,155.8,12.4,0,1
2025/03/24,12:55:00,JC2025004,Scriber No.3,Cleaving No.6,24MGN3029Cb00,Asahi,621,158.1,12.1,0,0
2025/03/24,13:26:50,PF2025028,Scriber No.5,Cleaving No.8,24MDDFA1PBf00,Asahi,620,151.8,12.2,0.3,1
2025/03/24,14:11:57,JC2024101,Scriber No.9,Cleaving No.4,24LED1ATWDb01,Asahi,625,150.5,12.3,0,2
2025/03/24,14:35:52,JC2024101,Scriber No.8,Cleaving No.12,24MDDFA1RAh00,Asahi,623,158.3,12.3,0,0
2025/03/24,19:54:20,JC2024101,Scriber No.6,Cleaving No.9,24LDD1ASFCd01,Asahi,622,152.4,12.4,0,1
2025/03/24,22:16:31,JC2024041,Scriber No.3,Cleaving No.6,24M5NU393Da00,Asahi,621,149.5,11.8,0.2,0
2025/03/24,22:28:27,JC2024041,Scriber No.5,Cleaving No.8,24LDD1ASFDg00,Asahi,620,150.5,12.1,0.9,1
